Species,Extinction_Year
pedromedinae,
macconnelli,[2038]
vehiculum,[2029]
jullieni,[2022]
labeamajor,[2026]
regilla,[2036]
holubi,[2030]
spirurus,[2030]
lemuru,
goinorum,
cinerascens,
intermedia,[2023]
ulula,[2005]
parryii,
genimaculata,[2028]
menetriesii,
rubrocapilla,[2025]
sirtalis,
magister,[2029]
nebouxii,[2020]
microsoma,[2024]
leucura,[2036]
dalli,
aurita,
griselda,
incomtus,
rattus,[2023]
murinus,[2005]
hirta,[2024]
aethereus,
albigula,
conspicillata,[2033]
heliaca,[2051]
aquila,[2094]
novaehollandiae,[2020]
miles,
nycthemera,[2027]
diardi,[1981]
fuscicollis,
penicillata,
swinhoana,[2006]
curasoae,
coynei,[2007]
mindoensis,[2007]
mucubajiensis,[2009]
periglenes,[1995]
planispina,[2006]
pinangoi,[2002]
varius,[2008]
atthis,[2027]
conspicillatus,[2023]
michahellis,[2025]
lemuroides,
roseus,[2039]
herbertensis,[2079]
porzana,
archeri,[2068]
johnstonii,
lumholtzi,[2042]
magnifica,[2010]
leucophaea,
magnirostra,[2024]
mouki,[2030]
macleayanus,[2024]
lewinii,[2027]
sapidus,
granatensis,
daurica,[2011]
ochruros,[2020]
naevia,
luscinioides,[1997]
arundinaceus,
polyglotta,
cantillans,
undata,
hortensis,[2022]
bonelli,
ibericus,[1995]
ignicapilla,
pendulinus,[1995]
cooki,[2023]
serinus,
apiaster,[2035]
melanopogon,[2042]
decaocto,[1971]
rupestris,[2009]
genei,[2029]
pygmaeus,
cachinnans,
garrulus,[2031]
biarmicus,[2004]
orbicularis,
grus,[2027]
natrix,[2111]
tessellata,[1990]
longissimus,[2097]
quatuorlineata,
leschenaultii,
pennatus,[2028]
agricola,
ichthyaetus,
bedriagae,
anguillicaudatus,[2002]
clanga,
richardi,[2026]
excubitor,[2006]
boyeri,[2023]
albispecularis,
pectoralis,[2021]
megarhyncha,
flaviventer,
melanopsis,
parvirostris,
tataupa,
maculosa,
trivirgatus,[2023]
superciliaris,
kaupi,
leucomela,[2029]
jacana,[2030]
nigricans,[1988]
cajaneus,
saracura,
melanophaius,[2039]
cayennensis,
atratus,[2031]
victoriae,[2010]
cayanensis,
magnirostris,[2042]
melanotis,[2029]
meridionalis,
lateralis,[2024]
chimachima,
sparverius,[2034]
choliba,[2022]
brasilianum,
torquata,
pretrei,
serrirostris,
lucidus,
glaucopis,[2036]
lactea,
squamosus,
leucophthalmus,[2026]
xanthopterygius,[2046]
maximiliani,
cayana,
ani,
guira,
pavoninus,
picazuro,
auriculata,
talpacoti,[2046]
verreauxi,[2038]
rufaxilla,[2024]
violacea,
surrucura,
toco,[2031]
albosquamatus,[2032]
candidus,
melanochloros,[2031]
passerinus,
griseicapillus,
platyrostris,
ferrugineigula,
nematura,[1988]
cinnamomeus,
vulpina,
spixi,
lineata,[2025]
severa,
doliatus,[2036]
mentalis,
rufimarginatus,[2104]
leucoptera,[2035]
ochropyga,
flaveola,
auricularis,
diops,
nidipendulus,
plumbeiceps,[2027]
poliocephalum,[2043]
cinereum,
subcristata,
caniceps,
viridicata,[2044]
flavogaster,
euleri,[2032]
sulphurescens,[2041]
obsoletum,
cyanirostris,
colonus,[2044]
velatus,
icterophrys,
yetapa,
melancholicus,[2031]
savana,[2032]
sulphuratus,
similis,
pitangua,[2047]
ferox,[2036]
amaurocephalus,[2043]
polychopterus,[2023]
validus,
caudata,
manacus,
leucorrhoa,[1988]
tapera,
cyanoleuca,
fucata,
cristatellus,
saturninus,
nigriceps,
amaurochalinus,
leucomelas,
rufiventris,[2034]
lutescens,[2025]
gujanensis,[2047]
astrild,
humeralis,
herbicola,
fuliginosa,[2029]
jacarina,[2033]
pileata,
sordida,
melanops,
coronatus,[2036]
rubica,
sayaca,[2034]
chlorotica,[2034]
speciosum,
leucoblephara,
culicivorus,
guirahuro,
cyanopus,[2030]
ruficapillus,
gracile,[2043]
tenebrosus,
flavipunctatus,[2001]
vagrans,
attenuatus,
eschscholtzii,[2039]
elongatus,
variegatus,
granulosa,[2033]
walleri,[2027]
beisa,[2094]
carcharias,
medirostris,
fulvescens,
oreotragus,[1988]
larvatus,
depressus,
grunniens,
picticaudata,[2002]
nayaur,[2032]
daubentonii,
nattereri,[2030]
serotinus,[2037]
noctula,[2031]
nudiventris,[2025]
stellatus,
nasomaculatus,
acuminata,[2021]
mongolus,[2026]
madagascariensis,[2025]
brevipes,
guttifer,[2026]
gueldenstaedtii,
ruthenus,[2013]
glauca,[2036]
johnsoni,[2022]
alleganiensis,[2026]
bovinus,[2030]
palpebrata,[2037]
crocea,[2006]
diacanthus,[2003]
bohar,[2025]
virgatus,
bruneus,
argentimaculatus,[2029]
argenteus,[2023]
anomala,[2029]
moluccensis,[2006]
portoricensis,[1994]
nictitans,[2028]
pogonias,[2024]
cephus,[2025]
oxyrinchus,
barbatulum,
barbata,
falcatus,
microlepis,[1993]
bimaculatus,[2029]
caudomaculatus,
pauciradiatus,[2032]
cyprinoides,
spilurus,
quadrimaculatus,[2006]
unimaculatus,[2006]
aimara,[2034]
malabaricus,
keithi,[2024]
meunieri,
friderici,[2029]
chrysargyrea,
surinamensis,
rhomboidalis,[2006]
ternetzi,[2025]
brevispina,[2058]
rotundatus,[2027]
nuchalis,[2040]
carinatus,
gymnorhynchus,[2006]
cataphracta,
galeatus,[2022]
geryi,[2006]
nodosus,
virescens,
macrurus,
parallelus,[2024]
squamosissimus,
jurupari,[1993]
lepidentostole,[2006]
batesii,[2006]
flavipinnis,[2025]
atherinoides,[2006]
atlanticus,[1993]
torridus,[2094]
eremicus,[1979]
lacustris,
descalvadensis,
borellii,[2027]
paraguayensis,[2024]
ambrosettii,
platymetopon,[2033]
bentincki,[2034]
rajah,[2028]
whiteheadi,[2006]
callidryas,[2026]
marina,[2025]
valliceps,[2024]
ebraccatus,
loquax,[2013]
picta,
variolosus,
fragilis,[2030]
melanonotus,[2021]
typhonius,
berlandieri,[2025]
staufferi,
baudinii,
petasatus,[2025]
fulva,[2033]
tahitiensis,
mentella,
dominica,
subruficollis,[2026]
lapponicus,[2060]
muta,[2032]
vinogradovi,
portenkoi,
scandiacus,[2010]
morinellus,[2000]
pomarinus,[1998]
nivicola,[2064]
vexillarius,
polyspinis,[2042]
parmifera,
acrolepis,[2024]
zachirus,[2034]
isolepis,
jaok,
polyacanthocephalus,
bolini,
scorpius,
kincaidi,[2049]
scepticus,
urile,[2005]
vitiensis,[2022]
furnieri,[2032]
rothii,[2027]
flavolimbatus,
brachyura,
clavata,[2029]
microocellata,[2030]
naevus,
montagui,
longimanus,[2025]
mokarran,
amboinensis,[2031]
taurus,
zygaena,[2031]
brevipinna,
lesueurii,
adalberti,
perspicillata,[2032]
vulpinus,[1991]
arundinum,
cooperii,[2042]
pipixcan,[2023]
azarae,[1984]
brelichi,
wallicus,[2007]
brachypterus,[2023]
clamosus,
leadbeateri,[2025]
roseicapilla,[1997]
cenchroides,[1996]
dorcas,
concinna,[2021]
chrysoptera,[2025]
triacanthus,
carunculata,[1991]
castanea,
wrighti,
wilderae,
sagittatus,[2010]
chiriri,
audax,
squamipes,[2034]
picumnus,
frenatus,[2028]
phoenicea,
cursor,[2027]
temporalis,
lutzae,[2026]
tirica,
malachitacea,
guanicoe,
gallopavo,
